BBK	-17.8327	25.1624	Kasane	Kasane	Botswana	BW		+2.0	3150	3060
GNZ	-21.7	21.6666	Ghanzi	Ghanzi	Botswana	BW		-2.0	4921	3729
MUB	-19.9666	23.4333	Maun	Maun	Botswana	BW		-2.0	6562	3101
SVT	-18.6166	24.0666	Savuti	Savuti	Botswana	BW		+0.0		
KHW	-19.1333	23.8333	Khwai River Lodge	Khwai River Lodge	Botswana	BW		-2.0	3281	3000
SXN	-20.55	26.1166	Suapan	Suapan	Botswana	BW		-2.0	3445	2975
TBY	-26.05	22.45	Tsabong	Tsabong	Botswana	BW		+0.0		
ORP	-21.1333	25.65	Orapa	Orapa	Botswana	BW		-2.0	5116	3100
GBE	-24.5552	25.9183	Sir Seretse Khama International	Gaborone	Botswana	BW		-2.0	9850	3299
HUK	-23.9833	21.75	Hukuntsi	Hukuntsi	Botswana	BW		-2.0	3000	3600
ZSU	56.9666	-5.3333	Dessau Railway Stn.	Dessau	Germany	DE		+0.0		
AGB	48.3833	10.8833	Augsburg - Muehlhausen	Munich	Germany	DE		+1.0	4199	1512
DRS	51.1333	13.7666	Dresden Arpt	Dresden	Germany	DE		-1.0	8229	755
PEF	54.15	13.7666	Peenemuende	Peenemuende	Germany	DE		+0.0		
GWW	52.4744	13.138	Raf Gatow (no longer in operation)	Berlin	Germany	DE		+1.0		546
BRE	53.05	8.7833	Bremen	Bremen	Germany	DE		+1.0	6673	13
FDH	47.6666	9.5166	Friedrichshafen	Friedrichshafen	Germany	DE		+1.0	7726	1365
ZHZ	62.2166	5.5666	Halle Railway	Halle	Germany	DE		+0.0		
GTI	54.383	12.3163	Guettin	Guettin	Germany	DE		+1.0	900	
ZGW	54.085	13.418	Greifswald Railway	Greifswald	Germany	DE		+0.0		
XLW	53.1352	8.6177	Lemwerder	Lemwerder	Germany	DE		-1.0	6234	20
BGN	51.2	6.1333	R.A.F.	Brueggen	Germany	DE		-1.0	8159	241
ZQW	49.2094	7.4005	Zweibruecken Airport	Zweibrücken	Germany	DE		+1.0	9677	1133
HAM	53.6333	9.9833	Hamburg Airport	Hamburg	Germany	DE		+1.0	12024	53
BRV	53.75	8.9166	Bremerhaven	Bremerhaven	Germany	DE		-1.0	2259	10
RMS	49.45	7.55	Ramstein	Ramstein	Germany	DE		+1.0	8030	782
EUM	54.1666	9.9833	Neumuenster	Neumuenster	Germany	DE		-1.0	1968	72
ZTT	51.7788	14.3644	Cottbus Railway Stn.	Cottbus	Germany	DE		+0.0		
VAC	52.6166	8.7333	Varrelbusch	Varrelbusch	Germany	DE		+0.0		
QDU	51.2075	6.7733	Station	Dusseldorf	Germany	DE		+0.0		
ESS	51.4166	7.0	Essen	Essen	Germany	DE		-1.0	5095	407
SPM	49.9833	6.6833	Spangdahlem	Spangdahlem	Germany	DE		+0.0		
IES	0.0	0.0	Riesa	Riesa	Germany	DE		+0.0		
ZVR	49.4666	-96.8333	Hanover Railway	Hanover	Germany	DE		+0.0		
FMO	51.95	7.6166	Münster Osnabrück International	Greven, North Rhine-Westphalia	Germany	DE		+1.0	7119	158
NDZ	53.7686	8.6447	Cuxhaven	Nordholz-Spieka	Germany	DE		-1.0	8002	74
KSF	51.4	9.3833	Kassel-Calden	Kassel	Germany	DE		+1.0	5495	907
XZE	37.7166	28.9666	Off line Point	Rail (Generic)	Germany	DE		+0.0		
QHU	0.0	0.0	Husum	Husum	Germany	DE		+0.0		
OBF	48.0833	11.2833	Oberpfaffenhofen	Oberpfaffenhofen	Germany	DE		-1.0	7500	1947
ZVM	49.4666	-96.8333	Messe-BF Railway Servi	Hanover	Germany	DE		+0.0		
RLG	54.1183	12.1252	Laage	Rostock-laage	Germany	DE		+1.0		
NRN	51.6025	6.1422	Weeze	Weeze	Germany	DE		+1.0	8005	106
GKE	50.95	6.1166	Geilenkirchen	Geilenkirchen	Germany	DE		-1.0	10009	296
KOQ	51.75	11.9666	Koethen	Koethen	Germany	DE		+0.0		
NRD	53.7083	7.15	Norderney	Norderney	Germany	DE		-1.0	3281	6
FLF	54.7833	9.3833	Schaferhaus	Flensburg	Germany	DE		-1.0	4003	130
PHM	48.6833	9.0166	Boeblingen	Boeblingen	Germany	DE		+0.0		
REB	53.35	12.7333	Rechlin	Rechlin	Germany	DE		+0.0		
KEL	54.3794	10.1452	Kiel-Holtenau	Kiel	Germany	DE		+1.0	4134	101
SGE	50.7077	8.083	Siegerland Airport	Siegen	Germany	DE		+1.0	5315	1966
BMR	53.7311	7.3758	Baltrum	Baltrum Island	Germany	DE		-1.0	360	6
URD	54.4333	11.2	Burg Feuerstein	Burg Feuerstein	Germany	DE		+0.0		
SEX	49.5	7.8666	Sembach	Sembach	Germany	DE		+1.0	7880	1052
ZCD	49.9205	10.9141	Breitenau AAF	Bamberg	Germany	DE		+1.0	3773	823
FRF	49.6833	10.5333	Rhein-main Afb (No longer operational)	Frankfurt	Germany	DE		+1.0	1969	314
AOC	50.9833	12.5083	Altenburg Nobitz	Altenburg	Germany	DE		+1.0	2235	641
FMM	47.9888	10.2394	Memmingen-Allgäu	Memmingen	Germany	DE		+1.0	9780	2077
IGS	49.6622	9.9275	Ingolstadt-manching	Ingolstadt-manching	Germany	DE		+1.0	9646	1202
HHN	49.9486	7.2638	Frankfurt-Hahn	Hahn	Germany	DE		+1.0	11900	1649
NOD	53.6	7.2	Norden	Norden	Germany	DE		-1.0	3740	8
OHR	54.6666	8.675	Wyk Auf Foehr	Wyk Auf Foehr	Germany	DE		-1.0	1804	25
LBC	53.8	10.7166	Lübeck Blankensee	Lübeck	Germany	DE		+1.0	5912	53
FRZ	51.1	9.2833	Fritzlar Airbase	Fritzlar	Germany	DE		+0.0		
JUI	53.6833	7.0	Juist	Juist	Germany	DE		-1.0	2296	8
CBU	51.7666	14.2833	Cottbus	Cottbus	Germany	DE		+0.0		
HAJ	52.4611	9.685	Hanover Arpt	Hanover	Germany	DE		+1.0	8858	183
UPF	48.9	8.7	Pforheim	Pforheim	Germany	DE		-1.0		
HDB	49.3933	8.6525	Heidelberg	Heidelberg	Germany	DE		+1.0		
BYU	49.95	11.5861	Bindlacher-Berg	Bayreuth	Germany	DE		-1.0	2969	1600
LEJ	51.4325	12.2416	Halle	Leipzig-Halle	Germany	DE		+1.0	8202	466
FRA	50.0263	8.543	Frankfurt International Airport (rhein-main)	Frankfurt	Germany	DE		+1.0	13123	364
EIB	52.15	14.6666	Eisenach	Eisenach	Germany	DE		+0.0		
RBM	48.8166	12.5666	Wallmuhle	Straubing	Germany	DE		+0.0		
GUT	51.9	8.3833	Guetersloh	Guetersloh	Germany	DE		-1.0	7388	236
XFW	53.5166	9.8666	Finkenwerder	Hamburg	Germany	DE		-1.0		
AGE	53.7833	7.9166	Flugplatz	Wangerooge	Germany	DE		-1.0	2789	6
HEI	54.15	8.9	Heide-Buesum	Heide-Buesum	Germany	DE		-1.0	2362	7
CSO	0.0	0.0	Cochstedt	Cochstedt	Germany	DE		+0.0		
LRC	51.6	6.1833	R.A.F.	Laarbruch	Germany	DE		+0.0		
GWT	54.9166	8.35	Westerland - Sylt	Westerland	Germany	DE		-1.0	6968	51
GHF	49.2666	7.5166	Giebelstadt	Giebelstadt	Germany	DE		+0.0		
ZTZ	53.5833	13.15	Chemnitz Railway Stn.	Chemnitz	Germany	DE		+0.0	40	
NUE	49.4986	11.0669	Nürnberg	Nürnberg	Germany	DE		+1.0	8858	1046
DTM	51.5183	7.6122	Dortmund	Dortmund	Germany	DE		-1.0	6562	425
THF	52.4897	13.4166	Tempelhof	Berlin	Germany	DE		+1.0	6942	164
WIE	50.0408	8.2561	Air Base	Wiesbaden	Germany	DE		+0.0		
ZJS	45.6	22.0666	Jena Railway	Jena	Germany	DE		+1.0		
ZGO	51.4166	12.6	Gotha Railway	Gotha	Germany	DE		+0.0		
BMK	53.6	6.7	Borkum	Borkum	Germany	DE		-1.0	3281	3
STR	48.6833	9.2	Stuttgart Echterdingen	Stuttgart	Germany	DE		+1.0	8366	1300
ZAU	52.6	14.4666	Sachsen Railway Stn.	Aue	Germany	DE		+0.0		
WBG	51.25	13.0166	Schleswig-jagel	Schleswig-jagel	Germany	DE		+1.0		
BWE	52.3191	10.5561	Braunschweig	Braunschweig	Germany	DE		-1.0	5315	295
BBH	54.3397	12.7116	Barth	Barth	Germany	DE		-1.0	3937	23
BER	52.5166	13.4	Berlin Metropolitan Area	Berlin	Germany	DE		+1.0		
MHG	49.4833	8.4833	Mannheim Arpt	Mannheim	Germany	DE		-1.0	3281	309
ZGE	51.1666	15.0	Goerlitz Railway	Goerlitz	Germany	DE		+0.0		
ZIU	50.7708	6.1052	Railway	Aachen	Germany	DE		+0.0		
SXF	52.38	13.5225	Berlin-Schoenefeld	Berlin	Germany	DE		+1.0	9843	154
BBJ	49.95	6.55	Bitburg Air Base	Bitburg	Germany	DE		+0.0	8221	
DUS	51.2894	6.7666	Düsseldorf International Airport (rhein-ruhr)	Dusseldorf	Germany	DE		+1.0	9842	147
QGV	49.6833	10.5333	Neu Isenburg	Frankfurt	Germany	DE		+0.0		
HGL	54.1833	7.9166	Helgoland	Helgoland	Germany	DE		-1.0	1312	8
KZG	49.7333	10.2	Kitzingen	Kitzingen	Germany	DE		+0.0		
EME	53.3666	7.2	Emden	Emden	Germany	DE		-1.0	3281	
SZW	53.4269	11.7833	Parchim Airport	Schwerin	Germany	DE		+1.0		
ZGA	12.5666	36.15	Gera Railway	Gera	Germany	DE		+0.0		
MGL	51.2302	6.5044	Moenchen-gl. - Dus Exp	Moenchengladbach	Germany	DE		+1.0	3937	121
WVN	53.5333	7.8833	Wilhelmshaven	Wilhelmshaven	Germany	DE		-1.0	4787	17
ILH	0.0	0.0	Illis Airbase	Illisheim	Germany	DE		+0.0		
FEL	48.1666	11.25	Fuerstenfeldbruck	Fuerstenfeldbruck	Germany	DE		-1.0	9002	1703
LHA	48.375	7.8388	Black Forest	Lahr	Germany	DE		+1.0	9842	511
ERF	50.9833	10.9666	Erfurt	Erfurt	Germany	DE		-1.0	6562	1033
SCN	49.2144	7.1094	Ensheim	Saarbruecken	Germany	DE		+1.0	6562	1057
WID	51.1025	6.2166	Wildenrath	Wildenrath	Germany	DE		-1.0	8192	291
GMY	51.15	6.3666	Rheindahlen	Rheindahlen	Germany	DE		+0.0		
ZGZ	0.0	0.0	GermanRail Pass	Fictitious Point/AA2	Germany	DE		+0.0		
HDF	53.8786	14.1522	Heringsdorf	Heringsdorf	Germany	DE		+1.0	7563	93
MUC	48.35	11.7833	Franz Josef Strauss	Munich	Germany	DE		+1.0	13100	1737
KLT	49.4333	7.75	Kaiserslautern	Kaiserslautern	Germany	DE		+0.0		
HOQ	50.3166	11.9166	Hof	Hof	Germany	DE		-1.0	2690	1926
NOE	53.6166	7.15	Norddeich	Norddeich	Germany	DE		-1.0	1713	3
LGO	53.75	7.4833	Langeoog	Langeoog	Germany	DE		-1.0	2116	7
BFE	52.0	8.5	Bielefeld	Bielefeld	Germany	DE		+1.0	4121	454
FNB	53.6	13.3	Neubrandenburg	Neubrandenburg	Germany	DE		+0.0		
FUN	-8.5166	179.2166	International	Funafuti Atol	Tuvalu	TV		-12.0	5000	9
REP	13.4166	103.8166	Siem Reap	Siem Reap	Cambodia	KH		-7.0	8366	75
HPP	13.6561	102.5625	Poipet	Poipet	Cambodia	KH		+0.0		
MWV	5.5166	72.8666	Mundulkiri	Mundulkiri	Cambodia	KH		+0.0		
KKZ	11.6333	102.9666	Koh Kong	Koh Kong	Cambodia	KH		-7.0		
OMY	13.8166	104.9666	Oddor Meanche	Oddor Meanche	Cambodia	KH		-7.0	3600	330
KZK	12.7166	104.9	Kompong Thom	Kompong Thom	Cambodia	KH		-7.0	2340	33
KTI	12.4833	106.05	Kratie	Kratie	Cambodia	KH		-7.0	3610	98
KOS	10.6	103.6833	Sihanoukville	Sihanoukville	Cambodia	KH		-7.0	3937	30
RBE	13.8333	107.0	Ratanakiri	Ratanakiri	Cambodia	KH		+0.0		
KZC	12.2333	104.6666	Kompong-Chhna	Kompong-Chhna	Cambodia	KH		-7.0	5413	66
SVR	11.0833	105.8055	Svay Rieng	Svay Rieng	Cambodia	KH		-7.0	3250	25
KMT	10.6333	104.1666	Kampot	Kampot	Cambodia	KH		-7.0	2624	42
TNX	13.5333	106.0333	Stung Treng	Stung Treng	Cambodia	KH		-7.0	1220	
BBM	13.0833	103.2166	Battambang	Battambang	Cambodia	KH		-7.0	5215	59
PAI	12.85	102.5833	Pailin	Pailin	Cambodia	KH		-7.0	3940	623
KZD	12.5333	104.15	Krakor	Krakor	Cambodia	KH		-7.0	4865	39
BZV	-4.25	15.25	Maya Maya	Brazzaville	Congo	CG		-1.0	10826	1047
KEE	-0.1	14.55	Kelle	Kelle	Congo	CG		-1.0	4249	1525
OUE	1.5333	16.05	Ouesso	Ouesso	Congo	CG		-1.0	5577	1155
SIB	-3.7333	13.4	Sibiti	Sibiti	Congo	CG		-1.0	4101	1795
KMK	-3.4833	12.6166	Makabana	Makabana	Congo	CG		-1.0	4462	495
